NOME-INSTITUICAO-EMPRESA,QUANTIDADE
NAO INFORMADO,97618
UNIVERSIDADE DE SAO PAULO,8979
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,4821
UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO,4714
UNIVERSIDADE ESTADUAL DE CAMPINAS,3984
UNIVERSIDADE FEDERAL DE MINAS GERAIS,3933
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,3374
UNIVERSIDADE FEDERAL DE SANTA CATARINA,3018
UNIVERSIDADE FEDERAL DE PERNAMBUCO,2830
UNIVERSIDADE DE BRASILIA,2692
UNIVERSIDADE FEDERAL FLUMINENSE,2608
UNIVERSIDADE FEDERAL DO PARANA,2594
UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,2351
UNIVERSIDADE FEDERAL DO PARA,2193
UNIVERSIDADE FEDERAL DO CEARA,2170
UNIVERSIDADE FEDERAL DA PARAIBA,2140
UNIVERSIDADE FEDERAL DE SAO PAULO,2131
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,2111
UNIVERSIDADE FEDERAL DA BAHIA,2109
UNIVERSIDADE FEDERAL DE GOIAS,2064
FUNDACAO OSWALDO CRUZ,2062
UNIVERSIDADE FEDERAL DE SANTA MARIA,1937
UNIVERSIDADE FEDERAL DE SAO CARLOS,1856
UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,1765
UNIVERSIDADE FEDERAL DE UBERLANDIA,1671
UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,1669
UNIVERSIDADE FEDERAL DE VICOSA,1546
UNIVERSIDADE FEDERAL DE PELOTAS,1330
UNIVERSIDADE ESTADUAL DE MARINGA,1326
EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,1317
UNIVERSIDADE FEDERAL DE JUIZ DE FORA,1263
UNIVERSIDADE FEDERAL DE SERGIPE,1246
UNIVERSIDADE FEDERAL DE ALAGOAS,1206
UNIVERSIDADE FEDERAL DO MARANHAO,1203
UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,1177
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,1157
UNIVERSIDADE FEDERAL DO PIAUI,1144
UNIVERSIDADE ESTADUAL DE LONDRINA,1135
UNIVERSIDADE FEDERAL DE MATO GROSSO,1121
UNIVERSIDADE FEDERAL DO AMAZONAS,1067
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,1035
UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,983
