CODM;RAZAO_SOCIAL;CNPJ;NATUREZA;COD_IES;INSTITUICAO;SIGLA;TELEGONE;SITE;EMAIL;ENDERECO;CIDADE;UF;TIPO;TIPO2;CATEGOORIA;CATEGORIA2;DATA1;CT;ANO_CT;CT_EAD;ANO_EAD;IGC;ANO2;OBS;RLEGAL;OBS3;STIUACAO
323;ASSOCIACAO BRASILEIRA DE ENSINO UNIVERSITARIO ABEU;30.831.606/0001-30;Privada sem fins lucrativos;2565;ABEU - CENTRO UNIVERSITÁRIO (UNIABEU);UNIABEU;(21) 2104-0460;www.uniabeu.edu.br;marcelo.rosa@abeugraduacao.com.br;Rua Itaiara - 301 - CEP: 26113-400 - Centro;Belford Roxo;RJ;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;16/05/2002;5;2023;4;2018;3;2023;;;;Ativa
18344;COMANDO DA AERONAUTICA;00.394.429/0111-45;Pessoa Jurídica de Direito Público - Federal;26777;ACADEMIA DA FORÇA AÉREA (AFA);AFA;;https://www2.fab.mil.br/afa/;dpl.direns@gmail.com;Estrada Aguaí-Pirassununga SP - 225 - S/N - CEP: 13631-750 - Jardim Bandeirantes;Pirassununga;SP;Faculdade;Presencial - Superior;Publica;Pública Federal;25/03/1941;-;;-;;-;;;;;Ativa
18177;CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS;03.389.126/0001-98;Pessoa Jurídica de Direito Público - Estadual;26238;ACADEMIA DE BOMBEIROS MILITAR (ABM);ABM;3133119179;;abm.ste@bombeiros.mg.gov.br;;;;Faculdade;Presencial - Superior;Publica;Pública Estadual;12/12/2012;-;;-;;-;;;;;Ativa
19728;FUNDO DE MELHORIA DA POLICIA CIVIL - FUMPC;07.188.579/0001-07;Fundo Público da Administração Direta Estadual ou do Distrito Federal;30426;Academia de Polícia Civil de Santa Catarina (ACADEPOL/SC);ACADEPOL/SC;;https://acadepol.sc.gov.br/;acadepol@pc.sc.gov.br;Rodovia Tertuliano Brito Xavier - 209 - CEP: 88054-600 - Canasvieiras;;;Escola de Governo;Escola do Governo;Privada;Pública Estadual;16/10/2013;-;;-;;-;;;;;Ativa
17963;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;16.695.025/0001-97;Pessoa Jurídica de Direito Público - Estadual;25613;ACADEMIA DE POLÍCIA MILITAR DE MINAS GERAIS (APM);APM;(31) 2123-9484;https://www.policiamilitar.mg.gov.br/portal-pm/apm/principal.action;divisaodeensino.apm@pmmg.mg.gov.br;Rua Diabase - 320 - CEP: 30411-060 - Prado;Belo Horizonte;MG;Faculdade;Presencial - Superior;Publica;Pública Estadual;29/11/2005;-;;-;;-;;;;;Ativa
17403;ESPIRITO SANTO SECRETARIA DE EST DE SEGURANCA PUBLICA;27.476.373/0001-90;Pessoa Jurídica de Direito Público - Estadual;24465;ACADEMIA DE POLÍCIA MILITAR DO ESPÍRITO SANTO (APM/ES);APM/ES;3636-2950;pm.es.gov.br;;Rodovia Governador José Henrique Sette - KM 4,5 - s/n - CEP: 29154-200 - Santana;Cariacica;ES;Faculdade;Presencial - Superior;Publica;Pública Estadual;10/11/2016;-;;-;;-;;;;;Ativa
15797;SANTA CATARINA TRIBUNAL DE JUSTICA;83.845.701/0001-59;Pessoa Jurídica de Direito Público - Estadual;17969;ACADEMIA JUDICIAL DO TRIBUNAL DE JUSTIÇA DE SANTA CATARINA (AJ);AJ;48-32872800;http://acadjud.tjsc.jus.br;academia@tjsc.jus.br;Rua Almirante Lamego - 1386 - CEP: 88015-601 - Centro;Florianópolis;SC;Escola de Governo;Escola do Governo;Publica;Pública Estadual;27/03/2017;5;2015;-;;-;;;;;Ativa
409;COMANDO DO EXERCITO;00.394.452/0001-03;Pessoa Jurídica de Direito Público - Federal;21095;Academia Militar das Agulhas Negras (AMAN);AMAN;2433884500;http://www.aman.ensino.eb.br/;rp@aman.ensino.eb.br;Rodovia Presidente Dutra - km 306 - CEP: 27534-900 - Cabral;Resende;RJ;Centro Universitário;Presencial - Superior;Publica;Pública Federal;14/12/2000;-;;-;;-;;;;;Ativa
15748;MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;00.394.494/0014-50;Pessoa Jurídica de Direito Público - Federal;17613;ACADEMIA NACIONAL DE POLÍCIA - ANP (ANP);ANP;(61) 2024-8800;https://www.gov.br/pf/pt-br;cesp.diren.anp@pf.gov.br;Academia Nacional de Polícia Federal - - CEP: 71559-900 - Setor Habitacional Taquari (Lago Norte);Brasília;DF;Escola de Governo;Escola do Governo;Publica;Pública Federal;30/04/2008;4;2015;-;;-;;;;;Ativa
18026;CENTRO SUPERIOR DE CIENCIAS DA SAUDE LTDA;38.428.487/0001-80;Privada com fins lucrativos;2082;Afya Faculdade de Ciências Médicas da Paraíba (AFYA PARAÍBA);AFYA PARAÍBA;83 32481035 83 98102-2559;https://paraiba.afya.com.br/;diretoriageral.fcmparaiba@afya.com.br;Ladeira de São Francisco - 16 - CEP: 58010-630 - Centro;João Pessoa;PB;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;20/09/2002;5;2023;-;;3;2023;;;Unificação de Mantidas;Ativa
